iter	Passed	Remaining
477	681	744
478	683	743
479	684	741
480	685	739
481	686	738
482	688	736
483	689	734
484	690	733
485	691	731
486	693	730
487	694	728
488	695	727
489	696	725
490	698	723
491	699	722
492	700	720
493	701	719
494	703	717
495	704	715
496	705	714
497	706	712
498	707	710
499	709	709
500	710	707
501	711	706
502	713	704
503	714	703
504	715	701
505	716	699
506	718	698
507	719	696
508	720	695
509	721	693
510	723	692
511	724	690
512	725	689
513	727	687
514	728	685
515	729	684
516	730	682
517	731	681
518	733	679
519	734	678
520	735	676
521	736	674
522	738	673
523	739	671
524	740	670
525	742	668
526	743	667
527	744	665
528	746	664
529	747	662
530	748	661
531	749	659
532	751	658
533	752	656
534	753	654
535	754	653
536	756	651
537	757	650
538	758	649
539	760	647
540	761	646
541	762	644
542	763	642
543	765	641
544	766	639
545	767	638
546	768	636
547	770	635
548	771	633
549	772	632
550	773	630
551	775	629
552	776	627
553	777	626
554	778	624
555	780	623
556	781	621
557	782	620
558	784	618
559	785	617
560	786	615
561	788	614
562	789	612
563	790	611
564	792	609
565	793	608
566	794	606
567	795	605
568	797	603
569	798	602
570	799	600
571	800	599
572	802	597
573	803	596
574	804	594
575	806	593
576	807	592
577	808	590
578	810	589
579	811	587
580	812	586
581	813	584
582	815	583
583	816	581
584	817	580
585	818	578
586	820	577
587	821	575
588	822	574
589	824	572
590	825	571
591	826	569
592	827	568
593	829	566
594	830	565
595	831	563
596	832	562
597	834	560
598	835	559
599	836	557
600	838	556
601	839	554
602	840	553
603	841	551
604	843	550
605	844	548
606	845	547
607	847	546
608	848	544
609	849	543
610	851	541
611	854	541
612	856	540
613	857	539
614	858	537
615	859	536
616	861	534
617	862	533
618	863	531
619	865	530
620	866	528
621	867	527
622	869	525
623	870	524
624	871	523
625	873	521
626	874	520
627	876	518
628	877	517
629	878	516
630	880	514
631	881	513
632	882	511
633	884	510
634	885	509
635	886	507
636	888	506
637	889	504
638	890	503
639	892	501
640	893	500
641	895	499
642	896	497
643	897	496
644	899	494
645	900	493
646	901	492
647	903	490
648	904	489
649	905	487
650	907	486
651	908	485
652	910	483
653	911	482
654	912	480
655	913	479
656	915	477
657	916	476
658	917	475
659	919	473
660	920	472
661	922	470
662	923	469
663	924	468
664	926	466
665	927	465
666	928	463
667	930	462
668	931	460
669	932	459
670	934	458
671	935	456
672	936	455
673	938	453
674	939	452
675	941	451
676	942	449
677	943	448
678	945	446
679	946	445
680	948	444
681	949	442
682	950	441
683	952	439
684	953	438
685	955	437
686	956	435
687	957	434
688	959	433
689	960	431
690	962	430
691	963	428
692	965	427
693	966	426
694	968	424
695	969	423
696	971	422
697	972	420
698	973	419
699	975	417
700	976	416
701	977	415
702	979	413
703	980	412
704	982	411
705	983	409
706	985	408
707	986	406
708	988	405
709	989	404
710	991	402
711	992	401
712	993	399
713	995	398
714	996	397
715	998	395
716	999	394
717	1001	393
718	1002	391
719	1003	390
720	1005	389
721	1006	387
722	1007	386
723	1009	384
724	1010	383
725	1012	382
726	1013	380
727	1015	379
728	1016	377
729	1017	376
730	1018	374
731	1019	373
732	1021	371
733	1022	370
734	1023	369
735	1024	367
736	1026	366
737	1027	364
738	1028	363
739	1030	362
740	1031	360
741	1032	359
742	1034	357
743	1035	356
744	1036	354
745	1037	353
746	1039	351
747	1040	350
748	1041	349
749	1042	347
750	1044	346
751	1045	344
752	1046	343
753	1047	341
754	1049	340
755	1050	338
756	1051	337
757	1052	336
758	1053	334
759	1055	333
760	1056	331
761	1057	330
762	1058	328
763	1060	327
764	1061	326
765	1062	324
766	1064	323
767	1065	321
768	1066	320
769	1067	318
770	1069	317
771	1070	316
772	1071	314
773	1073	313
774	1074	311
775	1075	310
776	1076	309
777	1078	307
778	1079	306
779	1080	304
780	1082	303
781	1083	301
782	1084	300
783	1085	299
784	1086	297
785	1088	296
786	1089	294
787	1090	293
788	1092	292
789	1093	290
790	1094	289
791	1096	287
792	1097	286
793	1098	285
794	1099	283
795	1100	282
796	1102	280
797	1103	279
798	1104	277
799	1106	276
800	1107	275
801	1108	273
802	1110	272
803	1111	270
804	1112	269
805	1113	268
806	1115	266
807	1116	265
808	1117	263
809	1119	262
810	1120	261
811	1121	259
812	1122	258
813	1124	256
814	1125	255
815	1126	254
816	1127	252
817	1129	251
818	1130	249
819	1131	248
820	1132	247
821	1134	245
822	1135	244
823	1136	242
824	1137	241
825	1139	239
826	1140	238
827	1141	237
828	1143	235
829	1144	234
830	1145	233
831	1146	231
832	1148	230
833	1149	228
834	1150	227
835	1151	225
836	1153	224
837	1154	223
838	1155	221
839	1156	220
840	1158	218
841	1159	217
842	1160	216
843	1162	214
844	1163	213
845	1164	211
846	1165	210
847	1166	209
848	1168	207
849	1169	206
850	1170	204
851	1171	203
852	1173	202
853	1174	200
854	1175	199
855	1177	198
856	1178	196
857	1179	195
858	1180	193
859	1182	192
860	1183	191
861	1184	189
862	1185	188
863	1187	186
864	1188	185
865	1189	184
866	1190	182
867	1192	181
868	1193	179
869	1194	178
870	1196	177
871	1197	175
872	1198	174
873	1200	173
874	1201	171
875	1202	170
876	1204	168
877	1205	167
878	1206	166
879	1208	164
880	1209	163
881	1211	162
882	1212	160
883	1213	159
884	1215	157
885	1216	156
886	1217	155
887	1219	153
888	1220	152
889	1221	151
890	1223	149
891	1224	148
892	1225	146
893	1226	145
894	1228	144
895	1229	142
896	1230	141
897	1232	139
898	1233	138
899	1234	137
900	1235	135
901	1236	134
902	1238	132
903	1239	131
904	1240	130
905	1241	128
906	1243	127
907	1244	126
908	1245	124
909	1246	123
910	1247	121
911	1249	120
912	1250	119
913	1251	117
914	1253	116
915	1254	115
916	1255	113
917	1257	112
918	1258	110
919	1259	109
920	1260	108
921	1261	106
922	1263	105
923	1264	103
924	1265	102
925	1267	101
926	1268	99
927	1269	98
928	1270	97
929	1272	95
930	1273	94
931	1274	92
932	1275	91
933	1277	90
934	1278	88
935	1279	87
936	1280	86
937	1282	84
938	1283	83
939	1284	82
940	1286	80
941	1287	79
942	1288	77
943	1289	76
944	1291	75
945	1292	73
946	1293	72
947	1294	71
948	1296	69
949	1297	68
950	1298	66
951	1300	65
952	1301	64
953	1302	62
954	1304	61
955	1305	60
956	1306	58
957	1307	57
958	1308	55
959	1310	54
960	1311	53
961	1312	51
962	1314	50
963	1315	49
964	1316	47
965	1318	46
966	1319	45
967	1320	43
968	1322	42
969	1323	40
970	1324	39
971	1325	38
972	1326	36
973	1328	35
974	1329	34
975	1330	32
976	1332	31
977	1333	30
978	1335	28
979	1336	27
980	1337	25
981	1338	24
982	1340	23
983	1341	21
984	1343	20
985	1344	19
986	1345	17
987	1347	16
988	1348	14
