iter	Logloss
0	0.6924905639
1	0.6915650851
2	0.6904740817
3	0.6896450761
4	0.6889989549
5	0.6880922179
6	0.687489938
7	0.6864322165
8	0.6857534215
9	0.6848163328
10	0.6837228969
11	0.6830928084
12	0.6824035092
13	0.6815725133
14	0.6808062567
15	0.6799664152
16	0.6791672085
17	0.6782872297
18	0.6775456304
19	0.6769716567
20	0.6762265192
21	0.6754608154
22	0.6745095737
23	0.6737308226
24	0.6728689221
25	0.6720990167
26	0.6712728307
27	0.6703709036
28	0.6698754352
29	0.6691847539
30	0.6683642069
31	0.6679852251
32	0.6673212466
33	0.6666135926
34	0.6660325976
35	0.6656284056
36	0.6646494105
37	0.6639498282
38	0.6632398522
39	0.6626952904
40	0.6621884332
41	0.6616664278
42	0.6609114495
43	0.6603655608
44	0.6596292689
45	0.6591055497
46	0.6585398135
47	0.6577181056
48	0.6570011084
49	0.6561563464
50	0.6553206513
51	0.6548748293
52	0.6542219079
53	0.6537601084
54	0.6531420722
55	0.6525950777
56	0.6520205512
57	0.6513567938
58	0.6507751907
59	0.6501619643
60	0.6497659545
61	0.6490794748
62	0.6484392691
63	0.6475530984
64	0.6472143643
65	0.6464346181
66	0.6459500962
67	0.6455701192
68	0.6451382844
69	0.644622858
70	0.6439924378
71	0.6434442271
72	0.6427261795
73	0.6419561635
74	0.6414560511
75	0.6405440621
76	0.6402650363
77	0.639633621
78	0.6388615042
79	0.6382186447
80	0.6376752439
81	0.6371300186
82	0.6366463813
83	0.6363231272
84	0.6354404394
85	0.6348457336
86	0.6343858691
87	0.6339235168
88	0.6332350468
89	0.6325873776
90	0.6320749919
91	0.6313220038
92	0.6309075839
93	0.6306120278
94	0.6302502397
95	0.6294325677
96	0.6291062728
97	0.6282916967
98	0.6279188515
99	0.6273392387
100	0.6270541868
101	0.6267350791
102	0.6263650535
103	0.6258764958
104	0.6254456009
105	0.625185925
106	0.6248844534
107	0.6243486819
108	0.6238876564
109	0.6235090062
110	0.6231207364
111	0.6226954806
112	0.6222949926
113	0.6218270564
114	0.6213520437
115	0.6208514891
116	0.62050695
117	0.6201221079
118	0.6195915886
119	0.6191545569
120	0.6185440948
121	0.6180009704
122	0.6174488897
123	0.616797848
124	0.6163975812
125	0.6158817678
126	0.6152689837
127	0.6148432303
128	0.6146491783
129	0.6140332429
130	0.613530698
131	0.6130761962
132	0.6126461305
133	0.6123455435
134	0.6119615859
135	0.6113376341
136	0.6110125556
137	0.6105451722
138	0.6103231458
139	0.6098754993
140	0.6094148055
141	0.6089271877
142	0.6084197777
143	0.6081363844
144	0.6073529893
145	0.6070164114
146	0.6065211089
147	0.6061322309
148	0.605862659
149	0.6054778168
150	0.6050133636
151	0.6043386045
152	0.60390876
153	0.603297745
154	0.6029576841
155	0.6024632108
156	0.6019345712
157	0.6016651651
158	0.6012985119
159	0.6008668982
160	0.6006018044
161	0.6000472359
162	0.5996210402
163	0.5990332451
164	0.598786672
165	0.5982509005
166	0.5977693641
167	0.5973961872
168	0.5968988391
169	0.5965231191
170	0.5960141058
171	0.5956505485
172	0.5948835179
173	0.5945713209
174	0.5943423838
175	0.5939968496
176	0.5934952446
177	0.5931772426
178	0.5927457948
179	0.5922966556
180	0.5919547703
181	0.5917141679
182	0.5913079303
183	0.5908533732
184	0.590198351
185	0.5896940922
186	0.5893672998
187	0.5889933489
188	0.5885507335
189	0.5880546017
190	0.5878470601
191	0.587320853
192	0.5870523315
193	0.586512303
194	0.5862194559
195	0.5857010441
196	0.5852287956
197	0.5848230555
198	0.5845109691
199	0.5840126812
200	0.583653989
201	0.5834530817
202	0.5830239006
203	0.5827923097
204	0.5821500032
205	0.5816655366
206	0.5810657446
207	0.5806611655
208	0.5803234266
209	0.5798395129
210	0.5794371453
211	0.5790003348
212	0.578775323
213	0.578415691
214	0.5780628591
215	0.5778777634
216	0.5773544312
217	0.5770012123
218	0.5766478829
219	0.5762168221
220	0.5758328092
221	0.5755453801
222	0.5752400937
223	0.574533656
224	0.574210623
225	0.5738187044
226	0.5732908387
227	0.5730258555
228	0.5726710333
229	0.5723753667
230	0.5720439856
231	0.5716551629
232	0.5713034367
233	0.5706287882
234	0.5703360516
235	0.5697801009
236	0.5694512077
237	0.5689766925
238	0.5686736176
239	0.568264284
240	0.5678861314
241	0.5675397127
242	0.5669694431
243	0.566524395
244	0.5661523791
245	0.5655966496
246	0.5652586895
247	0.5649287459
248	0.5646869272
249	0.5644216676
250	0.5640116153
251	0.563683883
252	0.5633646647
253	0.5629586482
254	0.5625713183
255	0.5622380575
256	0.5619789898
257	0.5615992892
258	0.5612283237
259	0.5610940906
260	0.5607958807
261	0.5605731909
262	0.5600693191
263	0.5597665206
264	0.5594444275
265	0.5592404794
266	0.5588487266
267	0.5586075714
268	0.5583248415
269	0.5579748292
270	0.5575648322
271	0.5572664565
272	0.5567200149
273	0.5562830386
274	0.5560796986
275	0.5556782156
276	0.5553425222
277	0.5549550817
278	0.5546706932
279	0.5543495952
280	0.5541497935
281	0.5538212873
282	0.5533348857
283	0.5529968151
284	0.5527491915
285	0.5525343522
286	0.5523436173
287	0.5521167258
288	0.5516851121
289	0.5514122783
290	0.5510686239
291	0.550680741
292	0.5503619097
293	0.5501503322
294	0.5499181333
295	0.5493756723
296	0.5490828251
297	0.5489212257
298	0.5486122905
299	0.5483015862
300	0.5480639693
301	0.5477063276
302	0.5474022022
303	0.5471271017
304	0.546941619
305	0.5466235064
306	0.5463382887
307	0.5460903334
308	0.545915576
309	0.5455122132
310	0.5451884615
311	0.5450113269
312	0.544819818
313	0.5444759977
314	0.5442503777
315	0.5438014044
316	0.5435247007
317	0.5433033377
318	0.543028016
319	0.5426739679
320	0.542499487
321	0.5421446095
322	0.5417717091
323	0.5414765952
324	0.5411744049
325	0.54105532
326	0.5407216169
327	0.5403349503
328	0.5401202769
329	0.5399137856
330	0.539640399
331	0.5394205287
332	0.5392028145
333	0.5388120568
334	0.5383379287
335	0.5380569126
336	0.5379006206
337	0.5377524003
338	0.5375105816
339	0.5372247558
340	0.5370225768
341	0.5368396925
342	0.5364614846
343	0.5359079112
344	0.5355656942
345	0.5349822113
346	0.5348123744
347	0.5346027872
348	0.5341759281
349	0.5339028179
350	0.5335907867
351	0.5332437045
352	0.5330221204
353	0.5327955052
354	0.5326361172
355	0.5322505564
356	0.531958428
357	0.5318170078
358	0.531537595
359	0.5313606815
360	0.5312529854
361	0.5308757174
362	0.5305873484
363	0.5296387603
364	0.5292172639
365	0.5290873984
366	0.5287694516
367	0.5284865006
368	0.5282178685
369	0.5277904566
370	0.527460734
371	0.527148537
372	0.5267090728
373	0.5263037198
374	0.5258047684
375	0.5254987081
376	0.5253219604
377	0.5250095423
378	0.5246630682
379	0.5244635983
380	0.5241745106
381	0.5238816634
382	0.5234046604
383	0.5232580434
384	0.5228562286
385	0.5225927381
386	0.5221829069
387	0.5219685651
388	0.5216432654
389	0.5212761699
390	0.5210178762
391	0.5206946221
392	0.5205494425
393	0.5204012774
394	0.5203291299
395	0.5201215329
396	0.5198274695
397	0.5194255442
398	0.5190315799
399	0.5188603056
400	0.5183312236
401	0.5181944474
402	0.5179856895
403	0.5177647687
404	0.5173803689
405	0.5170945983
406	0.5166879184
407	0.5162068243
408	0.5160920516
409	0.5159847978
410	0.515882962
411	0.5155663974
412	0.5153229202
413	0.5150855244
414	0.5146256046
415	0.5143043407
416	0.514052626
417	0.5139316061
418	0.5137808427
419	0.5135676066
420	0.5134507331
421	0.5132140008
422	0.5129688097
423	0.5127446271
424	0.5124731202
425	0.5123368415
426	0.5119217582
427	0.5115675442
428	0.5114090961
429	0.5111472641
430	0.5106604756
431	0.5105496835
432	0.5103399304
433	0.5100568136
434	0.5098619323
435	0.5093693388
436	0.5091894399
437	0.5087911633
438	0.5085534911
439	0.5083358322
440	0.5080606212
441	0.5079280466
442	0.5078004478
443	0.5074402077
444	0.5071638909
445	0.5068253227
446	0.5066438758
447	0.506376847
448	0.5061827397
449	0.5060171597
450	0.505952918
451	0.5057461504
452	0.5054916161
453	0.5053640172
454	0.5050029478
455	0.5047506802
456	0.5045086405
457	0.5042972841
458	0.5039790057
459	0.5038425611
460	0.5036541483
461	0.5035162663
462	0.5031597856
463	0.5029994578
464	0.5027117522
465	0.5023765564
466	0.5022334223
467	0.5020394809
468	0.5017100901
469	0.5015739773
470	0.5013180608
471	0.5011658599
472	0.500904028
473	0.5008268495
474	0.5006962652
475	0.5004413992
476	0.5001059822
477	0.4997570757
478	0.4995244344
479	0.4992114081
480	0.4990268099
481	0.4989225415
482	0.4986452849
483	0.4982852659
484	0.4980974059
485	0.4978839487
486	0.4976390894
487	0.497480199
488	0.4973052757
489	0.4970746248
490	0.4969479105
491	0.4967913973
492	0.4964877142
493	0.4961250969
494	0.4958639836
495	0.495687236
496	0.4954694665
497	0.4953137273
498	0.494738482
499	0.4942482105
500	0.4940215401
501	0.4938988064
502	0.4937592658
503	0.493366739
504	0.4932043103
505	0.4930207073
506	0.4926953523
507	0.4924736576
508	0.4923785666
509	0.4919825568
510	0.4917949732
511	0.4916129734
512	0.4911878282
513	0.4909467283
514	0.4907019242
515	0.4904148268
516	0.4899301391
517	0.4895292641
518	0.4893238786
519	0.4891549262
520	0.4888555554
521	0.4887473618
522	0.4885754793
523	0.488215018
524	0.4879675603
525	0.4873946922
526	0.4871700674
527	0.4870079151
528	0.4867454197
529	0.486428247
530	0.4860310209
531	0.4858735126
532	0.485616988
533	0.4855428502
534	0.4853351427
535	0.4852841142
536	0.4849881711
537	0.4846172609
538	0.4842669169
539	0.4840494792
540	0.4837914066
541	0.4835997872
542	0.483347796
543	0.4832141158
544	0.482989712
545	0.4827239548
546	0.4824204376
547	0.4821115024
548	0.4819675943
549	0.4817688431
550	0.4816422946
551	0.4812764707
552	0.4811436197
553	0.4810028629
554	0.480746283
555	0.4803493334
556	0.4800439365
557	0.4798963243
558	0.4796045829
559	0.4792855304
560	0.4790416662
561	0.478733892
562	0.4784457442
563	0.4780688631
564	0.4778531945
565	0.4775437618
566	0.477398361
567	0.4771966243
568	0.4769687376
569	0.4766793182
570	0.47613741
571	0.4758376522
572	0.4756722381
573	0.4753464409
574	0.4752771129
575	0.4750041132
576	0.4748437854
577	0.4745471236
578	0.474394204
579	0.4743048626
580	0.4741661514
581	0.4737102674
582	0.4734806669
583	0.4732166235
584	0.4729006118
585	0.4726961108
586	0.4724414107
587	0.4721326413
588	0.4719239387
589	0.4715332916
590	0.4712919705
591	0.470987624
592	0.4707376231
593	0.470470152
594	0.470198037
595	0.4699250373
596	0.4696439107
597	0.4693364682
598	0.4690665646
599	0.4687809599
600	0.4686950462
601	0.4684796541
602	0.4683795321
603	0.4682281605
604	0.4678971664
605	0.4677418142
606	0.46760736
607	0.4672787431
608	0.4671569493
609	0.4669381847
610	0.4667518173
611	0.466566998
612	0.4661686662
613	0.4659123075
614	0.4655368086
615	0.4653883119
616	0.4652175903
617	0.4648383873
618	0.4645741781
619	0.4641592053
620	0.4639301024
621	0.4638063735
622	0.4636899146
623	0.4635469188
624	0.4633379674
625	0.462975654
626	0.4626019796
627	0.4623351166
628	0.4619978753
629	0.4615452808
630	0.4611757804
631	0.4609468432
632	0.4607202558
633	0.4603944861
634	0.4602790777
