timestamp,open,high,low,close,volume,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,MACD,MACD_signal,RSI,middle_band,upper_band,lower_band,ATR,%K,VWAP,OBV,%R
2019-09-08,10000.0,10412.65,10000.0,10391.63,3096.291,,10391.63,,10391.63,,10391.63,0.0,0.0,,,,,,,10268.093333333334,0.0,
2019-09-09,10316.62,10475.54,10077.22,10307.0,14824.373,,10388.311176470588,,10389.954158415841,,10390.78791044776,-6.751111111110731,-1.3502222222221463,,,,,,,10283.391431179856,-14824.373,
2019-09-10,10307.0,10382.97,9940.87,10102.02,9068.955,,10377.084071510959,,10384.252491912559,,10387.914597905992,-28.315188350743483,-6.7432154479264135,,,,,,,10235.8659086945,-23893.328,
2019-09-11,10094.27,10293.11,9884.31,10159.55,10897.922,,10368.553323608568,,10379.80293761726,,10385.642313349714,-40.29815270258405,-13.454202898857941,,,,,,,10200.330286312328,-12995.406,
2019-09-12,10163.06,10450.13,10042.12,10415.13,15609.634,,10370.379859937644,,10380.502483407017,,10385.93572316713,-28.839128730918674,-16.53118806527009,,,,,,,10230.130129971163,2614.227999999999,
2019-09-13,10414.96,10440.55,10153.51,10341.34,19252.721,,10369.241041900874,,10379.726988686087,,10385.491984628154,-25.41899167356314,-18.308748786928703,,,,,,,10251.743456013188,-16638.493000000002,
2019-09-14,10343.01,10419.97,10222.77,10332.25,20656.624,,10367.790412806722,,10378.786850296263,,10384.962213636829,-23.174850199298817,-19.281969069402727,,,,,,,10267.943224822278,-37295.117,
2019-09-15,10333.47,10359.2,10024.81,10302.22,20536.255,,10365.219024069203,,10377.270675042872,,10384.138908028503,-23.54807439810429,-20.13519013514304,,,,,,,10260.878108428638,-57831.372,
2019-09-16,10302.0,10353.81,10080.7,10249.27,20185.637,,10360.672003517471,,10374.736008210339,,10382.79692884414,-27.79606401941055,-21.667364911996547,,,,,,,10255.919085712158,-78017.009,
2019-09-17,10257.3,10270.63,10136.77,10186.52,22519.607,,10353.842513183454,,10371.008958542809,,10380.843924577035,-35.813194759528415,-24.496530881502924,,,,,,,10247.588845858372,-100536.61600000001,
2019-09-18,10183.87,10256.65,10097.92,10155.16,20832.895,,10346.051042078221,,10366.73472173998,,10378.598313387214,-44.187947393416835,-28.434814183885706,,,,,,,10238.470821824032,-121369.51100000001,
2019-09-19,10154.7,10331.62,9530.02,10245.3,26228.754,,10342.100020820251,,10364.330073784733,,10377.271962010227,-43.05514165195018,-31.3588796774986,,,,,,,10212.356082533013,-95140.75700000001,
2019-09-20,10247.7,10279.3,10070.5,10166.35,23265.91,,10335.207863141026,,10360.409676284045,,10375.173236020075,-47.9749645992124,-34.68209666184136,,,,,,,10208.224546898522,-118406.66700000002,
2019-09-21,10166.56,10175.3,9912.63,9983.33,23642.387,,10321.408731253143,,10352.942752001194,,10371.274298348235,-65.88268953396982,-40.92221523626706,33.19476457029961,,,,337.6628571428568,47.94293087401634,10190.822203768541,-142049.054,-52.05706912598366
2019-09-22,9992.7,10089.52,9857.0,10023.04,23916.354,,10309.707996694196,,10346.410024238794,,10367.809280454223,-75.9944091890211,-47.93665402681787,35.309403671553056,,,,324.7964285714283,52.14273627210426,10173.314583352205,-118132.70000000001,-47.85726372789574
2019-09-23,10027.69,10046.91,9620.0,9701.96,31927.062,,10285.874741921874,,10333.648637620205,,10361.183914479554,-108.66388288811868,-60.08209979907804,29.709717229167737,,,,326.838571428571,18.686896131984103,10133.341734935753,-150059.76200000002,-81.3131038680159
2019-09-24,8683.2,9792.83,8645.61,8645.61,29758.535,,10221.550634395528,,10300.222129944557,,10344.113527270803,-217.28852600976825,-91.52338504121607,18.911084262251663,,,,377.2042857142854,0.0,10035.510365748025,-179818.29700000002,-100.0
2019-09-25,8493.32,8725.24,8200.0,8430.07,48222.102,,10151.296491870213,,10263.189414500112,,10325.068318044228,-317.11115493972466,-136.64093902091778,15.41510354591776,,,,385.52142857142815,10.224742570429255,9836.855468825133,-228040.39900000003,-89.77525742957074
2019-09-26,8428.15,8464.4,7700.67,8060.15,60065.945,,10069.290747090989,,10219.564871638722,,10302.531817367173,-421.215252763026,-193.55580176933944,4.966190891428411,,,,410.92999999999967,13.120282640115613,9598.787497807854,-288106.34400000004,-86.8797173598844
2019-09-27,8061.98,8260.0,7851.94,8176.52,40034.653,,9995.064443283498,,10179.108537546867,,10281.377470925709,-488.6950416244381,-252.5836497403592,9.265935587785947,9818.721,11363.496398012328,8273.94560198767,419.57428571428545,17.498988710329883,9474.63446074933,-248071.69100000005,-82.50101128967012
2019-09-28,8178.26,8311.0,8001.14,8195.38,33820.919,,9924.488582762577,,10139.826784328116,,10260.621277185155,-534.4901463833867,-308.9649490689647,9.939145791385926,9708.9085,11383.429696733747,8034.387303266251,427.62142857142834,18.608403892376575,9389.458918746775,-214250.77200000006,-81.39159610762341
2019-09-29,8199.0,8226.35,7888.98,8041.96,35966.056,,9850.663932458163,,10098.284867806768,,10238.545045571374,-576.51707864315,-362.47537498380177,9.499645214698873,9595.656500000001,11396.116726698026,7795.196273301976,427.8342857142855,12.863625741574136,9302.709703575858,-250216.82800000004,-87.13637425842586
2019-09-30,8042.08,8331.89,7709.01,8285.84,54412.52,,9789.298288048038,,10062.394870424456,,10219.115144620417,-583.4193523094236,-406.66417044892614,17.071460915357136,9504.8475,11376.57098313483,7633.124016865169,452.81785714285695,22.24177578441247,9196.002006345841,-195804.30800000005,-77.75822421558752
2019-10-01,8285.31,8499.0,8171.0,8290.0,39212.804,,9730.502276752037,,10027.297942297238,,10199.919969052055,-581.8466111384496,-441.70065858683085,17.556008704101586,9411.369999999999,11329.637621205855,7493.102378794143,466.6849999999999,22.39989357456431,9142.988294769248,-156591.50400000004,-77.60010642543568
2019-10-02,8290.0,8365.92,8149.35,8352.14,30329.179,,9676.448854134309,,9994.126497895313,,10181.53409871323,-569.0266388690161,-467.16585464326795,19.47696662310311,9308.2205,11221.297298899874,7395.143701100125,470.81642857142845,24.761778064957493,9104.808689649148,-126262.32500000004,-75.2382219350425
2019-10-03,8353.4,8386.0,8020.0,8220.27,33430.23,,9619.343801031004,,9959.000626649862,,10162.019033054392,-563.0174111494416,-486.3361659445027,16.196202679558112,9202.167000000001,11109.493835705847,7294.840164294155,439.70214285714275,20.15023481461088,9062.719856798469,-159692.55500000005,-79.84976518538912
